"","sample","ENSG00000115419_logTPM","group"
"261","TCGA-EB-A44N-01A-11R-A266-07",5.09299387145177,"Middle"
"262","TCGA-D3-A5GL-06A-11R-A27Q-07",5.74607623965374,"High"
"263","TCGA-ER-A19N-06A-11R-A18S-07",4.84794681210744,"Middle"
"264","TCGA-EE-A29L-06A-12R-A18S-07",5.69950999009326,"High"
"265","TCGA-EE-A2GJ-06A-11R-A18U-07",5.66115671455313,"Middle"
"266","TCGA-EE-A2A1-06A-11R-A18T-07",4.94453052330564,"Middle"
"267","TCGA-GF-A769-01A-32R-A32P-07",5.88588424697182,"High"
"268","TCGA-D9-A6EC-06A-11R-A311-07",4.44298329378368,"Low"
"269","TCGA-D3-A5GN-06A-11R-A27Q-07",5.92517817748331,"High"
"270","TCGA-EE-A3AA-06A-11R-A18S-07",6.57797709902524,"High"
"271","TCGA-GN-A4U9-06A-11R-A32P-07",5.4596873464557,"Middle"
"272","TCGA-D3-A2J8-06A-11R-A18T-07",4.58230308772569,"Middle"
"273","TCGA-FS-A4FC-06A-11R-A24X-07",5.44345746803461,"Middle"
"274","TCGA-XV-AAZY-01A-12R-A40A-07",1.84124857130625,"Low"
"275","TCGA-W3-A828-06A-11R-A352-07",5.17091451112182,"Middle"
"276","TCGA-WE-A8ZO-06A-11R-A37K-07",5.63272189501812,"Middle"
"277","TCGA-RP-A690-06A-11R-A311-07",5.42124686697963,"Middle"
"278","TCGA-EE-A3JD-06A-11R-A20F-07",5.75441454127168,"High"
"279","TCGA-EE-A2MI-06A-11R-A18U-07",4.90149928204379,"Middle"
"280","TCGA-EE-A29H-06A-12R-A18S-07",5.1997940364284,"Middle"
"281","TCGA-FS-A1ZS-06A-12R-A18T-07",5.66970995573551,"Middle"
"282","TCGA-ER-A2NF-01A-11R-A18T-07",4.09550251765867,"Low"
"283","TCGA-FS-A1ZY-06A-11R-A18S-07",5.53136586372886,"Middle"
"284","TCGA-EE-A3AD-06A-11R-A18S-07",6.05436663014385,"High"
"285","TCGA-ER-A193-06A-12R-A18S-07",5.28281043957256,"Middle"
"286","TCGA-ER-A198-06A-11R-A18T-07",6.09210170199912,"High"
"287","TCGA-EB-A3XF-01A-31R-A239-07",5.67432787863746,"Middle"
"288","TCGA-EE-A2GN-06A-11R-A18S-07",5.44322869012589,"Middle"
"289","TCGA-FW-A3TU-06A-11R-A239-07",2.31539233132432,"Low"
"290","TCGA-GN-A4U8-06A-11R-A32P-07",5.55107298994035,"Middle"
"291","TCGA-EE-A17Y-06A-11R-A18T-07",5.49520266936069,"Middle"
"292","TCGA-EE-A2MN-06A-11R-A18S-07",4.59574830594279,"Middle"
"293","TCGA-ER-A19T-06A-11R-A18U-07",4.24456743937681,"Low"
"294","TCGA-D3-A5GO-06A-12R-A27Q-07",4.43438136389743,"Low"
"295","TCGA-EB-A57M-01A-51R-A311-07",3.63788841867442,"Low"
"296","TCGA-D3-A3MV-06A-11R-A21D-07",5.85053191778629,"High"
"297","TCGA-BF-AAP6-01A-11R-A40A-07",5.83387931306852,"High"
"298","TCGA-EE-A29Q-06A-11R-A18T-07",6.13102556416711,"High"
"299","TCGA-EE-A3JB-06A-11R-A21D-07",6.95606013830149,"High"
"300","TCGA-FR-A7UA-06A-32R-A352-07",5.0762298508377,"Middle"
"301","TCGA-WE-A8K6-06A-11R-A37K-07",4.94524248882146,"Middle"
"302","TCGA-D3-A2JD-06A-11R-A18T-07",3.7024580786754,"Low"
"303","TCGA-D3-A8GP-06A-11R-A37K-07",5.56990420355599,"Middle"
"304","TCGA-ER-A42L-06A-11R-A24X-07",5.62812907857184,"Middle"
"305","TCGA-ER-A19F-06A-11R-A18S-07",5.46562517251934,"Middle"
"306","TCGA-EE-A2MU-06A-21R-A18S-07",4.86083371406879,"Middle"
"307","TCGA-EB-A5KH-06A-11R-A27Q-07",3.47881652904942,"Low"
"308","TCGA-D3-A3ML-06A-11R-A21D-07",6.37316792899759,"High"
"309","TCGA-YG-AA3N-01A-11R-A38C-07",3.42692220540614,"Low"
"310","TCGA-EB-A85I-01A-11R-A352-07",4.56612103248026,"Middle"
"311","TCGA-W3-AA21-06A-11R-A38C-07",3.85858779437871,"Low"
"312","TCGA-D3-A8GS-06A-12R-A37K-07",4.72535944065548,"Middle"
"313","TCGA-WE-A8ZT-06A-11R-A37K-07",4.96717783189598,"Middle"
"314","TCGA-EB-A44R-06A-41R-A266-07",5.88671596481098,"High"
"315","TCGA-BF-A1Q0-01A-21R-A18S-07",4.56994064890061,"Middle"
"316","TCGA-EE-A2GD-06A-11R-A18T-07",5.88422425658956,"High"
"317","TCGA-GN-A8LL-06A-21R-A37K-07",2.24476530756931,"Low"
"318","TCGA-EB-A5UM-01A-11R-A311-07",5.58716693684197,"Middle"
"319","TCGA-FS-A1ZN-01A-11R-A18T-07",5.392829145255,"Middle"
"320","TCGA-FR-A8YE-06A-11R-A37K-07",6.39597962060029,"High"
"321","TCGA-DA-A3F2-06A-11R-A20F-07",1.85726444450066,"Low"
"322","TCGA-D9-A4Z6-06A-12R-A266-07",5.24497836604682,"Middle"
"323","TCGA-3N-A9WD-06A-11R-A38C-07",4.41932314528325,"Low"
"324","TCGA-EB-A3XB-01A-11R-A239-07",5.18244600145911,"Middle"
"325","TCGA-IH-A3EA-01A-11R-A20F-07",3.53657516079976,"Low"
"326","TCGA-ER-A196-01A-11R-A18T-07",5.32323674692588,"Middle"
"327","TCGA-BF-A5ER-01A-12R-A27Q-07",3.18543842942173,"Low"
"328","TCGA-EB-A3HV-01A-11R-A21D-07",3.67868041373475,"Low"
"329","TCGA-EE-A3JE-06A-11R-A20F-07",4.75738067474114,"Middle"
"330","TCGA-FS-A1ZC-06A-11R-A18T-07",5.95030509854693,"High"
"331","TCGA-FS-A1YY-06A-11R-A18T-07",4.72841034327994,"Middle"
"332","TCGA-EB-A5VU-01A-21R-A32P-07",6.05454462835561,"High"
"333","TCGA-D3-A8GI-06A-11R-A37K-07",3.64859198967367,"Low"
"334","TCGA-D9-A3Z4-01A-11R-A239-07",5.53522560083889,"Middle"
"335","TCGA-ER-A2NH-06A-11R-A18S-07",5.64109511642847,"Middle"
"336","TCGA-HR-A2OH-06A-11R-A18U-07",4.94971700925061,"Middle"
"337","TCGA-D3-A3CC-06A-11R-A18S-07",5.46680654856494,"Middle"
"338","TCGA-ER-A2NF-06A-11R-A18T-07",4.93129065871884,"Middle"
"339","TCGA-GN-A4U4-06A-11R-A32P-07",6.80406388750312,"High"
