"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000123268.9",679.839004208243,1.02504003316209,0.0701796006048351,14.6059542135876,2.57353595760203e-48,1.00086421851116e-45,"ATF1"
"ENSG00000128185.10",3639.69812101294,-1.45162104459199,0.0997914677115916,-14.5465446884431,6.14283989156601e-48,2.31659522577391e-45,"DGCR6L"
"ENSG00000140990.15",4960.14086743267,-1.07583038787853,0.0739532703910497,-14.5474349165325,6.06343449441929e-48,2.31659522577391e-45,"NDUFB10"
"ENSG00000033867.16",1566.93090720279,1.64869316413762,0.113497037093387,14.5263101694985,8.25487461337211e-48,3.06662431532585e-45,"SLC4A7"
"ENSG00000135999.12",1441.88986420145,1.02478066568267,0.0705587963603764,14.5237832636577,8.56496179292717e-48,3.13502792685231e-45,"EPC2"
"ENSG00000178057.15",4414.1698760566,-1.4664573164643,0.101237851501815,-14.4852670686912,1.50137971403267e-47,5.41584653366277e-45,"NDUFAF3"
"ENSG00000175416.16",5063.15394576043,-1.61339609073843,0.111835087710962,-14.4265643615201,3.52192857343963e-47,1.25229717418446e-44,"CLTB"
"ENSG00000089048.14",1238.65091005533,1.35193200860372,0.0937239815714276,14.4246113527882,3.62304974759921e-47,1.2701085664471e-44,"ESF1"
"ENSG00000128923.11",1778.87245326369,1.46444918524822,0.101560756803624,14.419439469911,3.90501026117284e-47,1.349940352786e-44,"MINDY2"
"ENSG00000198862.14",1470.53867612208,1.3980012956619,0.0970526791740952,14.4045616005523,4.84381623412534e-47,1.65154227489561e-44,"LTN1"
"ENSG00000169692.13",6357.81048750906,-1.78153727481415,0.123864831836908,-14.3829144107659,6.62451139944259e-47,2.22816336124495e-44,"AGPAT2"
"ENSG00000122482.21",1850.04651317706,1.43557963788929,0.0999354026194773,14.3650758415967,8.57128294147526e-47,2.82465170041676e-44,"ZNF644"
"ENSG00000126247.11",26004.8436786704,-1.2516727102464,0.0871356589677252,-14.3646438791496,8.62489068829544e-47,2.82465170041676e-44,"CAPNS1"
"ENSG00000143498.18",285.729383821339,1.41855072277625,0.0988191461046551,14.3550190291456,9.90983230301099e-47,3.2033211171681e-44,"TAF1A"
"ENSG00000135913.11",361.987374676634,1.47133281592131,0.102622375603982,14.3373490163506,1.27846429447404e-46,4.07961234480243e-44,"USP37"
"ENSG00000103145.11",3358.51530926539,-1.62197324510959,0.113176449310909,-14.3313671261575,1.39350128280891e-46,4.39041100368528e-44,"HCFC1R1"
"ENSG00000027847.14",1970.59355056311,-1.04782418206142,0.0732277281009472,-14.3091177240533,1.91932819697846e-46,5.97150985284924e-44,"B4GALT7"
"ENSG00000145681.11",452.501869742186,5.47703541185283,0.3827948607222,14.3080170969892,1.94994235594829e-46,5.99185990611766e-44,"HAPLN1"
"ENSG00000135776.5",934.393366631655,1.45838544045069,0.101961887387537,14.3032409247943,2.0885220013156e-46,6.33942836740796e-44,"ABCB10"
"ENSG00000197713.15",1647.21149200523,0.969410856786906,0.0677993434677273,14.2982336878874,2.24433803116381e-46,6.73031007176712e-44,"RPE"
"ENSG00000004700.16",1345.00497277567,1.50721908410589,0.105453107695537,14.2927896298467,2.42689677340977e-46,7.19112627263918e-44,"RECQL"
"ENSG00000147123.11",5852.14546006691,-1.15045619461883,0.0805008701435019,-14.2912268223686,2.48198179901741e-46,7.2678267032404e-44,"NDUFB11"
"ENSG00000138081.21",1389.60086934606,1.02420126065236,0.071735183020479,14.2775304603318,3.02119072640293e-46,8.7438880442057e-44,"FBXO11"
"ENSG00000198840.2",99570.2472799971,-2.07839820642708,0.145712150553323,-14.263726110243,3.68255142577744e-46,1.04157619304092e-43,"MT-ND3"
"ENSG00000235043.3",95.8038413978609,-1.87277779749115,0.131294216625806,-14.2639778477726,3.66928789082773e-46,1.04157619304092e-43,"TECRP1"
"ENSG00000100852.13",2145.56620831311,1.74515266000157,0.122443955334027,14.2526648640253,4.31495793477455e-46,1.20673374153414e-43,"ARHGAP5"
"ENSG00000163946.13",3032.91932076672,1.15630150014281,0.0811684419760539,14.2457027878389,4.76727744449931e-46,1.31841706215098e-43,"TASOR"
"ENSG00000137770.14",1422.50792186192,1.21940327139042,0.0856197408525937,14.2420808478012,5.02094283052328e-46,1.37331062694203e-43,"CTDSPL2"
"ENSG00000077232.18",5945.30073605199,0.996877703090259,0.0700538099923571,14.23017110988,5.95359230905e-46,1.61070557143755e-43,"DNAJC10"
"ENSG00000151835.16",2406.13654699658,1.57944087467105,0.111043886531966,14.2235734356829,6.54249328524385e-46,1.75099632117978e-43,"SACS"
