"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000189308.11",588.338714339817,1.52881285542591,0.160083273390079,9.5501099087386,1.29558766758315e-21,4.11261765297838e-19,"LIN54"
"ENSG00000203883.7",655.265282144988,-2.37207474091185,0.248460338298056,-9.54709615691777,1.33382474057168e-21,4.1263065371788e-19,"SOX18"
"ENSG00000111615.14",1217.10885608964,1.55560663984593,0.163731223650462,9.50097730391901,2.07929576816955e-21,6.3510641627761e-19,"KRR1"
"ENSG00000175548.9",421.722076580636,1.84487853675938,0.194206198031423,9.49958629261088,2.1072580553331e-21,6.35601710939847e-19,"ALG10B"
"ENSG00000163848.20",1089.69645818935,1.75236232155099,0.1845101798242,9.49737474225341,2.15248266956593e-21,6.41227244649702e-19,"ZNF148"
"ENSG00000086504.17",5105.82617169568,-1.48263664981984,0.156263576260918,-9.48805016048162,2.35396016418352e-21,6.92695838557905e-19,"MRPL28"
"ENSG00000077232.18",4683.86232333374,1.27372261619659,0.134293783902152,9.48459846156865,2.43318040708444e-21,7.0738124364997e-19,"DNAJC10"
"ENSG00000118873.16",1975.09790734774,1.50912428400489,0.159167913917922,9.48133481716108,2.51050804339987e-21,7.2117332246713e-19,"RAB3GAP2"
"ENSG00000169221.14",4475.25001765259,-1.09132257574093,0.115267105109605,-9.4677711798454,2.85878261633889e-21,8.11557935673616e-19,"TBC1D10B"
"ENSG00000120686.12",2599.35254297612,1.38921208456156,0.146830783358111,9.46131358009142,3.04098643867707e-21,8.53244218200905e-19,"UFM1"
"ENSG00000054267.22",1072.09750111028,1.75844290451719,0.185944206505983,9.45683082877125,3.17417730510931e-21,8.80378142210202e-19,"ARID4B"
"ENSG00000106460.19",2044.9538904826,1.79033972201099,0.189343339466228,9.45551994096063,3.21420534085183e-21,8.81349714485849e-19,"TMEM106B"
"ENSG00000155100.11",589.804254043501,2.20900481555359,0.234225512100445,9.43110251203671,4.05800810437249e-21,1.10022174784841e-18,"OTUD6B"
"ENSG00000144306.15",576.822417165606,1.50524339804639,0.160461102536193,9.38073697771626,6.55131872855473e-21,1.75648134355584e-18,"SCRN3"
"ENSG00000101166.16",2573.25504063251,1.59139115939239,0.169901647681787,9.36654341559387,7.49467862352095e-21,1.96572386071262e-18,"PRELID3B"
"ENSG00000114127.11",1182.5995057209,1.73218657994267,0.184922977276092,9.36707057964187,7.45735164137992e-21,1.96572386071262e-18,"XRN1"
"ENSG00000143971.9",431.330747141045,1.7911063105197,0.191362347568294,9.35976347113157,7.99153912269933e-21,2.07350364549177e-18,"ETAA1"
"ENSG00000275052.5",2694.99129375369,1.47420303399083,0.157537941423667,9.35776499723483,8.14411466784546e-21,2.09061156313948e-18,"PPP4R3B"
"ENSG00000105793.16",693.561822674342,1.36139226363776,0.145588335160745,9.35097075005796,8.68469273955757e-21,2.18293370630754e-18,"GTPBP10"
"ENSG00000114346.14",928.616491221791,2.05062863573503,0.219289485707075,9.35124011588152,8.6626005403768e-21,2.18293370630754e-18,"ECT2"
"ENSG00000067829.19",4755.04746677139,-1.52298076876142,0.163100263890934,-9.33769653358652,9.84526347547972e-21,2.44913616147758e-18,"IDH3G"
"ENSG00000122008.15",482.086867974522,2.09082249461565,0.224024588330132,9.33300451615841,1.02911446789635e-20,2.53393184799377e-18,"POLK"
"ENSG00000234545.8",311.701809173265,1.60422122318219,0.172099374149983,9.32148202807601,1.14726426407492e-20,2.79631178708362e-18,"FAM133B"
"ENSG00000105701.16",20463.0579052912,-1.68469888070492,0.180948424906701,-9.31038157184056,1.27373923974793e-20,3.07353278551174e-18,"FKBP8"
"ENSG00000114209.15",899.609996023224,1.58392169782104,0.170202640040459,9.30609359199432,1.32620435104527e-20,3.13738343046299e-18,"PDCD10"
"ENSG00000144224.17",3571.20262754573,1.54378931266409,0.165883600156679,9.30646134522018,1.32162220397638e-20,3.13738343046299e-18,"UBXN4"
