"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000085563",24.3005925903221,2.11889157850028,0.35498864681837,5.96889956197503,2.38859085423687e-09,4.31005213625855e-07
"ENSG00000187621",17.2711352820945,1.39419511907345,0.408857871898717,3.40997499350781,0.000649688361260664,0.0148259392270475
"ENSG00000112379",38.4331431713913,1.34584574022856,0.278916167225138,4.8252697346949,1.39813915137653e-06,0.000114243264501916
"ENSG00000186297",79.6921397140981,1.00535295944296,0.203543947737256,4.93924270713621,7.84265488137052e-07,6.96801971515879e-05
"ENSG00000166396",86.4289181074086,1.10625957751573,0.328534001626171,3.3672605332781,0.000759189284089281,0.0168055733425147
"ENSG00000249931",15.6920415879093,2.10431905315497,0.715487046940754,2.94110013892288,0.00327048786825952,0.0473868784421742
"ENSG00000137841",19.3343590790451,1.28577067372892,0.38833635594034,3.31097167200706,0.000929726199383657,0.0194797743702771
"ENSG00000165152",40.904367494788,2.21971346314208,0.289321175180639,7.67214311830511,1.6914606644841e-14,9.55020516466617e-12
"ENSG00000074410",39.6594958058979,1.63059381009242,0.281225780254037,5.79816618739388,6.70439962937422e-09,1.10704817653714e-06
"ENSG00000103522",19.6040089286069,1.43744929655175,0.398457620696681,3.60753370468471,0.000309121392564293,0.00845398708445752
"ENSG00000182685",45.8056166166725,-1.01992794762141,0.313873272663181,-3.2494896394568,0.00115612289541001,0.0226856715676697
"ENSG00000160255",58.0445305639627,1.03889775385855,0.350145068716892,2.96704950798134,0.00300672539963638,0.0449800980084064
"ENSG00000148288",21.7090019123476,1.57653251739987,0.388220613268193,4.06091913597273,4.88799006612261e-05,0.00202256477842421
"ENSG00000103485",15.0080027778156,3.46502595543501,0.698904820452816,4.95779375679515,7.12981908528932e-07,6.49964705467807e-05
"ENSG00000188064",59.609712202077,1.0180154503839,0.229189231484771,4.441811876539,8.92045347854811e-06,0.000525706051296389
"ENSG00000239920",15.8553994833141,1.51126248512321,0.454761678627781,3.32319664595171,0.000889921560512806,0.0187892606437342
"ENSG00000114547",128.586922186276,-1.02690335709125,0.206292236720246,-4.97790597172997,6.42758657534289e-07,5.96383200657336e-05
"ENSG00000166292",20.6141118605876,1.19115748823071,0.352541416979676,3.37877319049688,0.000728100506131071,0.0162757894748559
"ENSG00000242692",121.758253160137,-1.01977002965649,0.345993031716559,-2.94737158317077,0.0032048783512792,0.0468141282060762
"ENSG00000164199",77.1653708383023,1.33067482526148,0.213306219990051,6.23833109659692,4.42263800898104e-10,9.05953892259776e-08
"ENSG00000284431",30.0071622252978,-3.46472022697086,0.707999332365161,-4.89367725163882,9.89690948548637e-07,8.45002959631551e-05
"ENSG00000118946",33.6956357111463,-2.46863724844463,0.378386564325425,-6.52411444060028,6.84044678157685e-11,1.81406575784757e-08
"ENSG00000198796",39.8022475569226,1.09308710642239,0.280009231399182,3.90375381897351,9.47121222761374e-05,0.00340399646036804
"ENSG00000225649",40.7963553652515,-1.04728284938459,0.283434721661829,-3.6949701971734,0.000219912580485365,0.00649094417577631
"ENSG00000267342",15.1232399921567,-1.20761470687506,0.405543161927079,-2.97777109873254,0.00290352739850776,0.0440003810009362
"ENSG00000213638",64.2368210449508,-1.04549812530828,0.302213462092798,-3.45946907218597,0.000541241430555967,0.0129594374268414
"ENSG00000082397",254.220697835283,-1.42922896664996,0.112826536860552,-12.6674894614236,8.95342363726141e-37,3.13423547845973e-33
"ENSG00000174951",14.8004498981618,1.24156683823673,0.406381299225732,3.05517709747535,0.00224927662106415,0.0369316029066471
"ENSG00000154319",86.2745921573834,1.17384065723641,0.274467351125461,4.27679522691147,1.89603058700404e-05,0.000973203031212073
"ENSG00000309855",18.8195469512069,1.27865742290954,0.390308980793573,3.27601332746632,0.00105283592477367,0.0214194120888615
"ENSG00000105894",1133.36577422293,-1.22937281746496,0.0917419038996428,-13.4003412313067,6.01857985628514e-41,3.5114401074853e-37
"ENSG00000268903",13.7250688804669,3.45582706945539,0.898383836283551,3.84671554616511,0.000119711817116951,0.00406068979650772
"ENSG00000226887",33.3402203843376,1.16842594584375,0.358743037799757,3.25699964244585,0.00112596574776584,0.0223299965644953
"ENSG00000188039",23.2279431753844,1.28722021229638,0.334877959244136,3.84384871193615,0.000121119689598036,0.00408469735459427
"ENSG00000134827",56.6449020405334,1.65858242077321,0.307279820127489,5.39762884554238,6.75273777485546e-08,8.69067421127169e-06
"ENSG00000287042",21.9885377933226,-1.44210024439751,0.441393594248718,-3.26715263471837,0.00108635092200726,0.0218055048026296
"ENSG00000248727",25.0800669597111,-1.06936071221636,0.338854106320001,-3.15581452982745,0.0016005059817103,0.0288800579359541
"ENSG00000081853",84.0891840093244,-1.02587364129707,0.221315573543214,-4.63534321093204,3.56345737433993e-06,0.000253541440744194
