"","SCR_exp1","SCR_exp2","SCR_exp3","SCR_exp4","GLS_KO_exp1","GLS_KO_exp2","GLS_KO_exp3","GLS_KO_exp4"
"ENSG00000184634",1271,2373,1866,1825,2483,2211,2208,2396
"ENSG00000204165",0,1,0,0,2,1,0,0
"ENSG00000184481",289,390,310,252,478,356,302,277
"ENSG00000063587",158,257,184,197,280,220,303,344
"ENSG00000227536",3,7,1,3,6,1,5,3
"ENSG00000297794",0,2,0,0,0,0,0,0
"ENSG00000166707",27,32,25,21,20,30,21,30
"ENSG00000082458",151,144,178,147,238,170,152,175
"ENSG00000090889",1283,1558,2493,1965,1903,1456,2422,2559
"ENSG00000120509",944,914,1064,955,1248,888,1254,1304
"ENSG00000120500",0,0,0,0,2,0,0,2
"ENSG00000186912",2,2,0,0,0,2,1,0
"ENSG00000184210",3,1,2,1,2,1,2,2
"ENSG00000233229",10,18,35,11,14,13,13,17
"ENSG00000158813",2,0,1,1,3,0,1,4
"ENSG00000228160",0,1,0,0,0,0,0,0
"ENSG00000172186",1,2,6,7,6,2,7,7
"ENSG00000213740",173,212,529,262,256,199,315,347
"ENSG00000289038",0,3,4,2,2,4,0,1
"ENSG00000228125",0,1,2,2,2,1,2,2
"ENSG00000260118",2,4,3,0,5,1,1,2
"ENSG00000079482",110,150,88,116,281,239,171,175
"ENSG00000169083",91,131,74,74,116,102,85,90
"ENSG00000131080",112,171,161,206,183,171,248,275
"ENSG00000235892",2,2,7,4,1,1,1,5
"ENSG00000089472",0,0,1,0,1,1,1,1
"ENSG00000237294",3,3,5,3,1,2,4,3
"ENSG00000147065",7313,10112,10538,10009,12643,10621,13153,14171
"ENSG00000227942",3,5,7,2,4,12,6,6
"ENSG00000001497",1945,2228,4108,2865,2723,2229,3740,4030
"ENSG00000237963",0,0,1,0,1,0,0,0
"ENSG00000126970",111,138,78,77,116,111,81,104
"ENSG00000225814",1,3,3,0,0,3,2,1
"ENSG00000287370",0,0,0,2,0,0,2,0
"ENSG00000236813",9,13,29,13,23,12,20,18
"ENSG00000186767",144,201,106,204,271,235,257,289
"ENSG00000235437",167,239,154,218,243,183,231,318
"ENSG00000231831",27,28,41,21,32,26,26,39
"ENSG00000147059",4,16,23,17,13,6,4,21
"ENSG00000226310",10,14,2,19,11,8,19,17
"ENSG00000186787",91,98,110,76,112,111,93,96
"ENSG00000234135",1,0,0,1,0,0,0,0
"ENSG00000227486",1,0,0,0,3,0,1,4
"ENSG00000304092",0,0,0,2,1,0,0,0
"ENSG00000189299",212,296,319,379,302,231,440,481
"ENSG00000187601",49,65,24,44,74,59,33,59
"ENSG00000290748",0,0,0,0,1,1,0,1
"ENSG00000232765",0,0,0,0,1,0,0,0
"ENSG00000182518",197,186,256,233,259,183,293,297
"ENSG00000169188",1781,1828,2445,1980,2263,1766,2217,2562
"ENSG00000158571",5,2,2,0,0,2,2,4
"ENSG00000067445",1,0,3,0,2,0,0,0
"ENSG00000102316",2495,2590,2173,1622,3184,2886,1839,1921
"ENSG00000130119",1242,1483,2051,1646,1749,1453,1985,2144
"ENSG00000158526",643,609,1271,847,813,641,962,1066
"ENSG00000196632",0,0,0,1,1,1,1,0
"ENSG00000172943",1144,1734,1877,1966,2040,1619,2214,2365
"ENSG00000235916",3,3,9,0,7,0,5,11
"ENSG00000229037",0,0,0,1,0,0,0,1
"ENSG00000072506",3200,2688,5194,2682,3191,2531,3026,3325
"ENSG00000072501",4702,6676,8659,7340,7644,6589,8774,9193
"ENSG00000124313",280,407,356,266,526,464,404,437
"ENSG00000232593",168,201,123,148,245,183,195,192
"ENSG00000234019",0,1,0,0,0,0,0,0
"ENSG00000184205",927,1079,1219,769,1086,910,848,944
"ENSG00000301008",2,1,2,3,4,1,5,2
"ENSG00000286118",1,8,6,8,9,3,11,8
"ENSG00000179304",479,1049,894,1150,838,746,1040,1308
"ENSG00000171405",0,0,0,0,0,1,0,0
"ENSG00000155622",0,3,6,0,0,1,3,6
"ENSG00000283093",1,0,0,0,0,0,0,0
"ENSG00000226881",8,6,23,7,7,10,10,15
"ENSG00000147082",24,40,25,32,35,49,33,50
"ENSG00000068985",154,105,263,111,22,17,29,44
"ENSG00000216649",2,0,1,0,0,0,0,1
"ENSG00000274274",0,0,1,0,0,1,1,1
"ENSG00000102001",2,2,1,0,0,0,0,0
"ENSG00000012211",227,301,271,227,403,390,313,308
"ENSG00000102007",2933,2997,2984,3163,3775,3370,3795,4330
"ENSG00000279422",2,2,0,1,1,0,1,1
"ENSG00000269313",67,52,80,42,93,66,81,55
"ENSG00000294702",0,1,4,0,0,1,2,4
"ENSG00000288053",0,0,0,0,0,0,0,3
"ENSG00000068323",1570,1793,2708,2118,2371,1816,2826,3222
"ENSG00000102057",27,66,44,31,66,46,78,103
"ENSG00000303123",56,53,87,54,87,79,64,60
"ENSG00000102103",1772,1591,3376,1860,1934,1460,2444,2773
"ENSG00000102145",0,0,0,1,0,0,0,0
"ENSG00000293263",14,14,24,11,12,5,9,7
"ENSG00000101945",1104,1045,1983,1386,1425,1110,1618,1952
"ENSG00000228343",4,0,4,3,2,0,2,1
"ENSG00000068354",494,536,508,479,657,520,563,562
"ENSG00000276823",0,1,0,0,0,0,0,0
"ENSG00000286268",5,3,3,0,0,1,3,1
"ENSG00000147155",1465,1298,2004,1209,1560,1328,1427,1725
"ENSG00000224292",6,3,1,1,4,3,2,0
"ENSG00000294603",1,0,0,2,5,0,2,4
"ENSG00000226971",3,15,14,8,15,14,8,9
"ENSG00000296579",0,0,0,0,0,1,1,0
"ENSG00000231603",0,0,0,0,0,3,1,0
"ENSG00000308268",0,0,0,0,0,0,0,1
